sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00651-C-20240423	e00651-C-20240423	1	e00651-C_S191_L001_R1_001.fastq.gz	e00651-C_S191_L001_R2_001.fastq.gz	15805	15805	15601	15601	14777	14777	14561	14561	14515	14515
e00652-A-20240423	e00652-A-20240423	1	e00652-A_S42_L001_R1_001.fastq.gz	e00652-A_S42_L001_R2_001.fastq.gz	16161	16161	15917	15917	12677	12677	12459	12459	12168	12168
e00652-B-20240423	e00652-B-20240423	1	e00652-B_S117_L001_R1_001.fastq.gz	e00652-B_S117_L001_R2_001.fastq.gz	21138	21138	20858	20858	7023	7023	6825	6825	6801	6801
e00652-C-20240423	e00652-C-20240423	1	e00652-C_S192_L001_R1_001.fastq.gz	e00652-C_S192_L001_R2_001.fastq.gz	14580	14580	14369	14369	14306	14306	14124	14124	13930	13930
e00653-A-20240423	e00653-A-20240423	1	e00653-A_S43_L001_R1_001.fastq.gz	e00653-A_S43_L001_R2_001.fastq.gz	21321	21321	21063	21063	13640	13640	11031	11031	10842	10842
e00653-B-20240423	e00653-B-20240423	1	e00653-B_S118_L001_R1_001.fastq.gz	e00653-B_S118_L001_R2_001.fastq.gz	20893	20893	20575	20575	12825	12825	12399	12399	12198	12198
e00653-C-20240423	e00653-C-20240423	1	e00653-C_S193_L001_R1_001.fastq.gz	e00653-C_S193_L001_R2_001.fastq.gz	23063	23063	22794	22794	19932	19932	19455	19455	19027	19027
e00654-A-20240423	e00654-A-20240423	1	e00654-A_S44_L001_R1_001.fastq.gz	e00654-A_S44_L001_R2_001.fastq.gz	16841	16841	16625	16625	9176	9176	8927	8927	8803	8803
e00654-B-20240423	e00654-B-20240423	1	e00654-B_S119_L001_R1_001.fastq.gz	e00654-B_S119_L001_R2_001.fastq.gz	19922	19922	19666	19666	16192	16192	9925	9925	9844	9844
e00654-C-20240423	e00654-C-20240423	1	e00654-C_S194_L001_R1_001.fastq.gz	e00654-C_S194_L001_R2_001.fastq.gz	17249	17249	17008	17008	16941	16941	16588	16588	16475	16475
e00655-A-20240423	e00655-A-20240423	1	e00655-A_S45_L001_R1_001.fastq.gz	e00655-A_S45_L001_R2_001.fastq.gz	2053	2053	1198	1198	808	808	738	738	738	738
e00655-B-20240423	e00655-B-20240423	1	e00655-B_S120_L001_R1_001.fastq.gz	e00655-B_S120_L001_R2_001.fastq.gz	1436	1436	1418	1418	858	858	838	838	838	838
e00655-C-20240423	e00655-C-20240423	1	e00655-C_S195_L001_R1_001.fastq.gz	e00655-C_S195_L001_R2_001.fastq.gz	487	487	480	480	476	476	470	470	470	470
e00656-A-20240423	e00656-A-20240423	1	e00656-A_S46_L001_R1_001.fastq.gz	e00656-A_S46_L001_R2_001.fastq.gz	17665	17665	17394	17394	10666	10666	10371	10371	10371	10371
e00656-B-20240423	e00656-B-20240423	1	e00656-B_S121_L001_R1_001.fastq.gz	e00656-B_S121_L001_R2_001.fastq.gz	17102	17102	16857	16857	15826	15826	15460	15460	15384	15384
e00656-C-20240423	e00656-C-20240423	1	e00656-C_S196_L001_R1_001.fastq.gz	e00656-C_S196_L001_R2_001.fastq.gz	14238	14238	14059	14059	10179	10179	10039	10039	10011	10011
e00657-A-20240423	e00657-A-20240423	1	e00657-A_S47_L001_R1_001.fastq.gz	e00657-A_S47_L001_R2_001.fastq.gz	16764	16764	16547	16547	12163	12163	10377	10377	10377	10377
e00657-B-20240423	e00657-B-20240423	1	e00657-B_S122_L001_R1_001.fastq.gz	e00657-B_S122_L001_R2_001.fastq.gz	21652	21652	21332	21332	20140	20140	19923	19923	19666	19666
e00657-C-20240423	e00657-C-20240423	1	e00657-C_S197_L001_R1_001.fastq.gz	e00657-C_S197_L001_R2_001.fastq.gz	18160	18160	17929	17929	17762	17762	17691	17691	17631	17631
e00658-A-20240423	e00658-A-20240423	1	e00658-A_S48_L001_R1_001.fastq.gz	e00658-A_S48_L001_R2_001.fastq.gz	19316	19316	18999	18999	3691	3691	3646	3646	3646	3646
e00658-B-20240423	e00658-B-20240423	1	e00658-B_S123_L001_R1_001.fastq.gz	e00658-B_S123_L001_R2_001.fastq.gz	1230	1230	1206	1206	17	17	0	0	0	0
e00658-C-20240423	e00658-C-20240423	1	e00658-C_S198_L001_R1_001.fastq.gz	e00658-C_S198_L001_R2_001.fastq.gz	12638	12638	12430	12430	27	27	0	0	0	0
e00659-A-20240423	e00659-A-20240423	1	e00659-A_S49_L001_R1_001.fastq.gz	e00659-A_S49_L001_R2_001.fastq.gz	17861	17861	17608	17608	7921	7921	7821	7821	7821	7821
e00659-B-20240423	e00659-B-20240423	1	e00659-B_S124_L001_R1_001.fastq.gz	e00659-B_S124_L001_R2_001.fastq.gz	11438	11438	11293	11293	11190	11190	10985	10985	10937	10937
e00659-C-20240423	e00659-C-20240423	1	e00659-C_S199_L001_R1_001.fastq.gz	e00659-C_S199_L001_R2_001.fastq.gz	6032	6032	5948	5948	5924	5924	5851	5851	5831	5831
